device,motif_number,power,window_size
Airfryer,1,"[35.4, 35.3, 35.3, 35.387499999999996, 35.5, 35.375, 35.34285714285714, 35.285714285714285, 35.34285714285714, 35.4, 35.3, 35.31428571428571, 35.28333333333333, 35.3, 35.42857142857143, 35.4, 35.324999999999996, 35.28333333333333, 35.291666666666664, 35.3, 35.41428571428571, 35.266666666666666, 35.3125, 35.36666666666667, 35.480000000000004, 35.31666666666666, 35.44, 35.44285714285714, 736.0642857142857, 1436.685714285714]",30
Airfryer,2,"[34.46666666666667, 34.5, 34.53333333333333, 34.56666666666667, 34.6, 34.55714285714286, 34.6, 34.65714285714286, 34.67142857142857, 34.55714285714286, 34.6, 34.650000000000006, 34.65, 34.6, 34.733333333333334, 34.71666666666667, 34.642857142857146, 34.65714285714286, 34.61666666666667, 34.7, 34.7, 34.7125, 34.74285714285714, 34.7, 34.737500000000004, 34.7, 34.75, 34.7, 34.660000000000004, 1495.8999999999999]",30
Airfryer,3,"[735.6285714285714, 34.7, 34.58571428571429, 34.5625, 34.457142857142856, 34.6, 34.55, 34.528571428571425, 34.51428571428571, 34.5, 34.4, 34.516666666666666, 34.48571428571429, 34.542857142857144, 34.6, 34.525, 34.425, 34.349999999999994, 34.5, 34.42857142857143, 34.471428571428575, 34.628571428571426, 34.542857142857144, 34.525, 34.58, 34.542857142857144, 34.41428571428571, 34.48571428571429, 34.471428571428575, 34.480000000000004]",30
Airfryer,4,"[35.775, 35.642857142857146, 35.699999999999996, 35.8, 35.628571428571426, 35.666666666666664, 35.67142857142857, 35.642857142857146, 35.675, 35.8, 35.7, 35.7, 35.86666666666667, 35.666666666666664, 35.63333333333333, 35.71666666666667, 35.800000000000004, 35.714285714285715, 35.614285714285714, 35.871428571428574, 35.833333333333336, 35.725, 35.75714285714286, 35.81428571428571, 35.8, 35.63333333333333, 35.775, 35.766666666666666, 35.75714285714286, 415.0285714285714]",30
Airfryer,5,"[299.8, 34.5, 34.457142857142856, 34.41428571428571, 34.44, 34.385714285714286, 34.38333333333333, 34.3, 34.416666666666664, 34.36666666666667, 34.35, 34.333333333333336, 34.31666666666666, 34.3, 34.166666666666664, 34.271428571428565, 34.3, 34.300000000000004, 34.214285714285715, 34.25, 34.271428571428565, 34.2, 34.239999999999995, 34.29857142857142, 34.357142857142854, 34.25, 34.228571428571435, 34.27142857142857, 34.24285714285714, 34.20892857142857]",30
Kettle,1,"[33.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Kettle,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Kettle,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Kettle,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Kettle,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
